test_id,category,retrieved_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,groundedness_score,faithfulness,target_chunks,top_chunk_id,top_breadcrumb,judge_explanation
TC-01,Pod Lifecycle / Troubleshooting,1,1,1,1,1.0,1.0,HIGH,concepts_workloads_pods_pod_lifecycle_chunk_012|concepts_workloads_pods_pod_lifecycle_chunk_030,concepts_workloads_pods_pod_lifecycle_chunk_021,Pod Lifecycle > How Pods handle problems with containers > Configurable container restart delay,"Verified facts in chunk context: ['CrashLoopBackOff', 'exponential'] (2/3)"
TC-02,Pod Lifecycle / Troubleshooting,1,1,1,1,1.0,1.0,HIGH,concepts_workloads_pods_probes_chunk_007|concepts_workloads_pods_pod_lifecycle_chunk_040|concepts_workloads_pods_probes_chunk_008|concepts_workloads_pods_pod_lifecycle_chunk_041,concepts_workloads_pods_probes_chunk_008,"Liveness, Readiness, and Startup Probes > When to use each probe > When should you use a readiness probe?","Verified facts in chunk context: ['Liveness', 'readiness'] (2/3)"
TC-03,Pod Lifecycle / Troubleshooting,1,1,1,1,1.0,1.0,HIGH,concepts_workloads_pods_pod_lifecycle_chunk_045|concepts_workloads_pods_pod_lifecycle_chunk_046|concepts_workloads_pods_pod_lifecycle_chunk_036,concepts_workloads_pods_pod_lifecycle_chunk_036,Pod Lifecycle > Termination of Pods > Pod Termination Flow (Part 1/3),"Verified facts in chunk context: ['grace period', 'kubectl', 'dead'] (3/3)"
TC-04,Storage & Volumes,1,1,1,1,1.0,1.0,HIGH,concepts_storage_persistent_volumes_chunk_007|tutorials_configuration_configure_persistent_volume_storage_chunk_004,tutorials_configuration_configure_persistent_volume_storage_chunk_004,Configure a Pod to Use a PersistentVolume for Storage > Create a PersistentVolumeClaim,"Verified facts in chunk context: ['PersistentVolumeClaim', 'PersistentVolume', 'Bound'] (3/3)"
TC-05,Storage & Volumes,1,1,1,1,1.0,1.0,HIGH,concepts_storage_storage_classes_chunk_008|reference_kubernetes_api_storage_storage_class_v1_chunk_004,reference_kubernetes_api_storage_storage_class_v1_chunk_003,StorageClass > StorageClass (Part 2/2),"Verified facts in chunk context: ['volumeBindingMode', 'Immediate', 'WaitForFirstConsumer'] (3/3)"
TC-06,Storage & Volumes,1,1,1,1,1.0,1.0,HIGH,concepts_storage_storage_classes_chunk_004|concepts_storage_storage_classes_chunk_002,concepts_storage_storage_classes_chunk_002,Storage Classes > StorageClass objects,"Verified facts in chunk context: ['provisioner', 'reclaimPolicy', 'parameters'] (3/3)"
TC-07,Networking & Ingress,1,1,1,1,1.0,1.0,HIGH,concepts_services_networking_service_chunk_024|concepts_services_networking_service_chunk_021|concepts_services_networking_service_chunk_014,concepts_services_networking_service_chunk_024,Service discovery and load balancing > Service type > `type: LoadBalancer` > Disabling load balancer NodePort allocation,"Verified facts in chunk context: ['NodePort', 'LoadBalancer'] (2/3)"
TC-08,Networking & Ingress,1,1,1,1,1.0,1.0,HIGH,concepts_services_networking_network_policies_chunk_009,concepts_services_networking_network_policies_chunk_006,Network Policies > Default policies > Default deny all ingress traffic,"Verified facts in chunk context: ['ingress', 'NetworkPolicy', 'isolated'] (3/3)"
TC-09,Networking & Ingress,1,1,1,1,1.0,1.0,HIGH,concepts_services_networking_ingress_chunk_009,concepts_services_networking_ingress_chunk_009,Ingress > The Ingress resource > Path types,"Verified facts in chunk context: ['ImplementationSpecific', 'Exact', 'Prefix'] (3/3)"
TC-10,Networking & Ingress,1,1,1,1,1.0,1.0,HIGH,concepts_services_networking_dns_pod_service_chunk_004,concepts_services_networking_dns_pod_service_chunk_004,DNS for Services and Pods > Services > A/AAAA records,"Verified facts in chunk context: ['Normal', 'Headless Services', 'cluster IP'] (3/3)"
TC-11,Security & RBAC,1,1,1,1,1.0,1.0,HIGH,reference_access_authn_authz_rbac_chunk_004|reference_access_authn_authz_rbac_chunk_003,reference_access_authn_authz_rbac_chunk_005,Using RBAC Authorization > API objects > Role and ClusterRole > ClusterRole example,"Verified facts in chunk context: ['namespace', 'ClusterRole'] (2/3)"
TC-12,Security & RBAC,1,1,1,1,1.0,1.0,HIGH,reference_access_authn_authz_psp_to_pod_security_standards_chunk_001|concepts_security_pod_security_standards_chunk_001,tasks_configure_pod_container_enforce_standards_namespace_labels_chunk_001,Enforce Pod Security Standards with Namespace Labels,"Verified facts in chunk context: ['Privileged', 'Baseline', 'Restricted'] (3/3)"
TC-13,Security & RBAC,1,1,1,1,1.0,1.0,HIGH,concepts_storage_projected_volumes_chunk_004,concepts_storage_projected_volumes_chunk_004,Projected Volumes > serviceAccountToken projected volumes,"Verified facts in chunk context: ['serviceAccountToken', 'audience', 'expirationSeconds'] (3/3)"
TC-14,Scheduling & HA,1,1,1,1,1.0,1.0,HIGH,tasks_run_application_configure_pdb_chunk_006,tasks_run_application_configure_pdb_chunk_006,Specifying a Disruption Budget for your Application > Specifying a PodDisruptionBudget,"Verified facts in chunk context: ['PodDisruptionBudget', 'minAvailable', 'maxUnavailable'] (3/3)"
TC-15,Scheduling & HA,5,0,0,1,0.2,1.0,HIGH,concepts_scheduling_eviction_assign_pod_node_chunk_006,concepts_scheduling_eviction_assign_pod_node_chunk_009,Assigning Pods to Nodes > Affinity and anti-affinity > Inter-pod affinity and anti-affinity > Types of Inter-pod Affinity and Anti-affinity,"Verified facts in chunk context: ['requiredDuringSchedulingIgnoredDuringExecution', 'preferredDuringSchedulingIgnoredDuringExecution'] (2/2)"
TC-16,Scheduling & HA,1,1,1,1,1.0,1.0,HIGH,concepts_scheduling_eviction_taint_and_toleration_chunk_003,concepts_scheduling_eviction_taint_and_toleration_chunk_004,Taints and Tolerations > Concepts (Part 3/4),"Verified facts in chunk context: ['NoExecute', 'NoSchedule', 'toleration'] (3/3)"
TC-17,Scheduling & HA,1,1,1,1,1.0,1.0,HIGH,concepts_scheduling_eviction_topology_spread_constraints_chunk_003|concepts_scheduling_eviction_topology_spread_constraints_chunk_004,concepts_scheduling_eviction_topology_spread_constraints_chunk_004,Pod Topology Spread Constraints > `topologySpreadConstraints` field > Spread constraint definition (Part 1/5),"Verified facts in chunk context: ['topologySpreadConstraints', 'maxSkew'] (2/3)"
TC-18,Admission Control,1,1,1,1,1.0,1.0,HIGH,admission_ctrl_chunk_002,admission_ctrl_chunk_002,Admission Control in Kubernetes > What are they?,"Verified facts in chunk context: ['bypass', 'read', 'block'] (3/3)"
TC-19,Admission Control,1,1,1,1,1.0,1.0,HIGH,admission_ctrl_chunk_004,admission_ctrl_chunk_004,Admission Control in Kubernetes > What are they? > Admission control phases,"Verified facts in chunk context: ['two phases', 'mutating', 'validating'] (3/3)"
TC-20,Admission Control,1,1,1,1,1.0,1.0,HIGH,admission_ctrl_chunk_011,admission_ctrl_chunk_011,Admission Control in Kubernetes > What does each admission controller do? > AlwaysPullImages,"Verified facts in chunk context: ['Always', 'image pull policy', 'mutating'] (3/3)"
